11,wanpela ten wan
12,wanpela ten tu
13,wanpela ten tri
14,wanpela ten foa
15,wanpela ten faiv
16,wanpela ten sikis
17,wanpela ten seven
18,wanpela ten et
19,wanpela ten nain
21,tupela ten wan
22,tupela ten tu
23,tupela ten tri
24,tupela ten foa
25,tupela ten faiv
26,tupela ten sikis
27,tupela ten seven
28,tupela ten et
29,tupela ten nain
31,tripela ten wan
32,tripela ten tu
33,tripela ten tri
34,tripela ten foa
35,tripela ten faiv
36,tripela ten sikis
37,tripela ten seven
38,tripela ten et
39,tripela ten nain
41,fopela ten wan
42,fopela ten tu
43,fopela ten tri
44,fopela ten foa
45,fopela ten faiv
46,fopela ten sikis
47,fopela ten seven
48,fopela ten et
49,fopela ten nain
51,faipela ten wan
52,faipela ten tu
53,faipela ten tri
54,faipela ten foa
55,faipela ten faiv
56,faipela ten sikis
57,faipela ten seven
58,faipela ten et
59,faipela ten nain
61,sikispela ten wan
62,sikispela ten tu
63,sikispela ten tri
64,sikispela ten foa
65,sikispela ten faiv
66,sikispela ten sikis
67,sikispela ten seven
68,sikispela ten et
69,sikispela ten nain
71,sevenpela ten wan
72,sevenpela ten tu
73,sevenpela ten tri
74,sevenpela ten foa
75,sevenpela ten faiv
76,sevenpela ten sikis
77,sevenpela ten seven
78,sevenpela ten et
79,sevenpela ten nain
81,etpela ten wan
82,etpela ten tu
83,etpela ten tri
84,etpela ten foa
85,etpela ten faiv
86,etpela ten sikis
87,etpela ten seven
88,etpela ten et
89,etpela ten nain
91,nainpela ten wan
92,nainpela ten tu
93,nainpela ten tri
94,nainpela ten foa
95,nainpela ten faiv
96,nainpela ten sikis
97,nainpela ten seven
98,nainpela ten et
99,nainpela ten nain
101,wan handet wan
200,tu handet
300,tri handet
400,foa handet
500,faiv handet
600,sikis handet
700,seven handet
800,et handet
900,nain handet
2000,tu tausen
3000,tri tausen
4000,foa tausen
5000,faiv tausen
6000,sikis tausen
7000,seven tausen
8000,et tausen
9000,nain tausen
10000,ten tausen
100000,wan handet tausen
